faultId,component,customerDescription
---,FW/SW,The diagnosis routines in the server encountered a event it understood but did not have the messaging files necessary to report it.
DCT-0001-01,,A rack has reached 40C in temp
DCT-0002-01,,A liquid cooling event has been identified
DCT-0002-02,,A liquid cooling event has been identified
HPCGPU-0001-01,GPU,The PCIe link speed is degraded for a GPU.
HPCGPU-0001-02,GPU,The PCIe bus address for a GPU is not as expected.
HPCGPU-0002-01,GPU,The GPU has encountered an uncorrectable ECC error and remap is pending.
HPCGPU-0002-02,GPU,The GPU has exceeded the maximum number of ECC defective row remaps.
HPCGPU-0002-03,GPU,The GPU has encountered an uncorrectable SRAM error.
HPCGPU-0003-01,GPU,The GPU temperature has exceeded the maximum allowable.
HPCGPU-0003-02,GPU,The GPU temperature has exceeded the maximum allowable.
HPCGPU-0004-01,GPU,The GPU is throttling performance due to a hardware problem.
HPCGPU-0004-02,GPU,The GPU is throttling performance due to exceeding the maximum operating temperature.
HPCGPU-0004-03,GPU,The GPU is throttling performance due to a thermal problem.
HPCGPU-0004-04,GPU,The GPU is throttling performance due to power availability.
HPCGPU-0005-01,GPU,"The GPU has experienced an Xid 79, GPU has fallen off the bus."
HPCGPU-0005-02,GPU,"The GPU has experienced an Xid 62, internal microcontroller halt."
HPCRDMA-0001-01,RDMA,The PCIe link speed is degraded for an RDMA interface.
HPCRDMA-0001-02,RDMA,The PCIe bus address for an RDMA interface is not as expected.
HPCRDMA-0002-01,RDMA,An RDMA cable is not plugged in.
HPCRDMA-0002-02,RDMA,An RDMA cable has exceeded the allowable Bit Error Rate.
HPCRDMA-0002-03,RDMA,An RDMA cable is in a degraded state.
HPCRDMA-0002-04,RDMA,An RDMA cable flap event has been detected.
HT0-0001-0001,HOSTT0LINK,Host T0 Link flap detected - 1
HT0-0001-0002,HOSTT0LINK,Host T0 Link reset detected -2
HT0-0001-0003,HOSTT0LINK,Host T0 Link fault detected - 3
ILOM-8000-1G,ILOM,Indicates that a Field Replaceable Unit (FRU) in the chassis contains records to indicate it is faulty.
ILOM-8000-2V,ILOM,indicates that the fault management function running on the service processor has determined a Field Replaceable Unit (FRU) has a corrupt FRUID SEEPROM.
ILOM-8000-30,ILOM,The Top Level Identification of the system cannot be determined.
ILOM-8000-4T,ILOM,The Service Processor power-on self test has detected a problem. 
ILOM-8000-56,FW/SW,The fault diagnosis daemon (fdd) on the service processor has received unexpected error telemetry and is therefore unable to provide a diagnosis describing the suspect hardware fault or software/firmware defect.
ILOM-8000-6N,FW/SW,The preferred ILOM firmware image could not be booted.
ILOM-8000-79,FW/SW,An ILOM file system has exceeded the file system capacity limit.
ILOM-8000-81,FW/SW,The platform service processor had detected a file missing which it deems necessary for operation.
ILOM-8000-9W,FW/SW,NOT A X86 EVENT The ILOM miniroot system is missing.
ILOM-8000-AF,ILOM,The Service Processor hardware is faulty.
ILOM-8000-CK,ILOM,I2C transactions are blocked to the device.
ILOM-8000-D8,ILOM,A Field Replaceable Unit (FRU) FRUID SEEPROM cannot be accessed.
ILOM-8000-EM,ILOM,On host startup the host fault manager is unable to use the Ethernet over USB (EoUSB) interconnect between the host and the Service Processor (SP).
ILOM-8000-F7,ILOM,The link between the host and the Service Processor (SP) has experienced a heartbeat failure.
ILOM-8000-GU,ILOM,NOT X86 EVENT.The link between two Service Processors (SPs) has experienced a heartbeat failure.
ILOM-8000-H0,ILOM,The key identity properties (KIP) of the system are indeterminable.
ILOM-8000-JV,FW/SW,ILOM has detected that it's file system has exceeded the filesystem capacity limit.
ILOM-8000-KG,FW/SW,ILOM has detected that a number of open faults have exceeded threshold limit.
ILOM-8000-LL,FW/SW,ILOM Fault Diagnosis Daemon (FDD) encountered an error parsing it's diagnosis rules files.
ILOM-8000-M9,ILOM,ILOM fault manager has posted an ereport that has an invalid format or invalid contents.
ILOM-8000-NN,ILOM,FDD SERD Restore Failure.
ISTOR-8000-05,STORAGE,A Disk Temperature has exceeded its threshold.
ISTOR-8000-1S,STORAGE,A Predictive Disk Failure is Imminent.
ISTOR-8000-2A,STORAGE,A Disk Self-Test Failure has occurred.
ISTOR-8000-3P,STORAGE,ILOM fault manager has applied diagnosis to error reports indicating a non-recoverable hardware failure was detected by the disk device.
ISTOR-8000-4D,STORAGE,ILOM fault manager has applied diagnosis to error reports indicating a non-recoverable media error was detected by the device.
ISTOR-8000-5H,STORAGE,Indicates a non-recoverable drive failure was detected by the device while performing a command.
ISTOR-8000-63,STORAGE,ILOM diagnosisindicates a path to the disk device has been unconfigured due to transport instability
ISTOR-8000-7Y,STORAGE,SMART health-monitoring firmware on the drive has detected the available spare space on disk device has been exhausted.
ISTOR-8000-8Q,STORAGE,SMART health-monitoring firmware has reported that the disk has been placed in read-only mode.
ISTOR-8000-9C,STORAGE,SMART health-monitoring firmware has reported that the volatile memory backup device has failed.
ISTOR-8000-AR,STORAGE,The SMART health-monitoring has detected the Percent Drive Life Used (PDLU) on disk device has fallen below the WARNING threshold set by the manufacturer.
ISTOR-8000-C4,STORAGE,The SMART health-monitoring has detected that the Percent Drive Life Used (PDLU) on disk device has fallen SIGNIFICANTLY below the threshold set by the manufacturer.
ISTOR-8000-DX,STORAGE,The on-die temperature of the device controller has exceeded the critical limit established by the manufacturer.
ISTOR-8000-E2,CPU,The on-die temperature of the device controller has exceeded the warning limit established by the manufacturer.
JBOD-CONFIG-ENCL-01,IOM,Enclosure services have failed. Need to reseat/replace IOM's
JBOD-SG-CONFIG-DISK-03,DISK,Check cable connections / IOM status/reseat IOM
JBOD-SG-CONFIG-DISK-04,DISK,Faulty disk. Needs to be replaced.
JBOD-SG-CONFIG-ENCL-01,IOM,Enclosure services have failed. Need to reseat/replace IOM's
JBOD-SG-CONFIG-ENCL-03,IOM,Enclosure services have failed. Need to reseat/replace IOM's
JBOD-SG-FAULT-DISK-04,DISK,Faulty disk. Needs to be replaced. - SMART ASC/ASCQ=5d/05
JBOD-SG-FAULT-DISK-21,DISK,Faulty disk. Needs to be replaced. - SMART ASC/ASCQ=5d/32
JBOD-SG-FAULT-DISK-27,DISK,Faulty disk. Needs to be replaced. - SMART ASC/ASCQ=5d/43
JBOD-WDC-CONFIG-CONNECTOR-01,CONNECTOR/CABLE,A data path between JBOD and Host has failed
JBOD-WDC-CONFIG-CONNECTOR-02,CONNECTOR/CABLE,A data path between JBOD and Host has failed
JBOD-WDC-CONFIG-DISK-01,DISK,Check cable connections / IOM status/reseat IOM
JBOD-WDC-CONFIG-DISK-02,DISK,Incorrect disk configuration points to missing disk. Need to install missing disk
JBOD-WDC-CONFIG-DISK-03,DISK,Check cable connections / IOM status/reseat IOM
JBOD-WDC-CONFIG-DISK-04,DISK,Faulty disk. Needs to be replaced.
JBOD-WDC-CONFIG-DISK-05,DISK,Check cable connections / IOM status/reseat IOM
JBOD-WDC-CONFIG-DISK-06,DISK,Incorrect disk configuration points to missing disk. Need to install missing disk
JBOD-WDC-CONFIG-ENCL-01,IOM,Enclosure services have failed. Need to reseat/replace IOM's
JBOD-WDC-CONFIG-ENCL-02,IOM,An enclosure has failed resulting in loss of disk capacity. 
JBOD-WDC-CONFIG-ENCL-03,IOM,Enclosure services have failed. Need to reseat/replace IOM's
JBOD-WDC-CONFIG-FAN-01,ENCL FAN,Fans are no longer redundant
JBOD-WDC-CONFIG-FW-01,FW,Loss of JBOD
JBOD-WDC-CONFIG-FW-02,FW,TBD
JBOD-WDC-CONFIG-FW-03,FW,Loss of JBOD
JBOD-WDC-CONFIG-FW-04,FW,TBD
JBOD-WDC-CONFIG-OS-01,OS,Wrong queue depth. Expected:64. Reported: Incorrect value. Update queue depth.
JBOD-WDC-CONFIG-OS-02,OS,Update multipath config file and may require reboot.
JBOD-WDC-CONFIG-OS-03,OS,Depends on repair action outcome. Customer may need to update \n multipath.conf file and reboot.
JBOD-WDC-CONFIG-OS-04,OS,Update multipath config file and may require reboot.
JBOD-WDC-CONFIG-OS-07,OS,A data path between JBOD and Host has failed
JBOD-WDC-CONFIG-OS-08,OS,Number of device nodes per disk exceeds 2
