Build,Group,Category,Filter,Full Filter URL,JQL Filename,cc,bcc
gpu_mi355x_bringup,CHS - CX7 Priority Blocks - AGA4.1,QFAB Block 15+16+17 | CFAB Block 8 Open Tickets Link,383106,https://jira-sd.mc1.oracleiaas.com/issues/?filter=383106&mode=advanced,qfab_block_15_16_17_cfab_block_8_open_tickets_link.jql,@dco-aga4 @lgreen @aroden @gomcgowa @mlovestr @relarse @josantho @joshschm,@wezzhu @shlou @vensridh
gpu_mi355x_bringup,CHS - CX7 Priority Blocks - AGA4.1,QFAB Block 19+20+21+22 | CFAB Block 9 Open Tickets Link,383107,https://jira-sd.mc1.oracleiaas.com/issues/?filter=383107&mode=advanced,qfab_block_19_20_21_22_cfab_block_9_open_tickets_link.jql,,
gpu_mi355x_bringup,CHS - CX7 Priority Blocks - AGA4.1,QFAB Block 11+12+13+14 | CFAB Block 6 Open Tickets Link,383108,https://jira-sd.mc1.oracleiaas.com/issues/?filter=383108&mode=advanced,qfab_block_11_12_13_14_cfab_block_6_open_tickets_link.jql,,
gpu_mi355x_bringup,CHS - CX7 Priority Blocks - AGA4.1,QFAB Block 5+6 | CFAB Block 3 Open Tickets Link,383109,https://jira-sd.mc1.oracleiaas.com/issues/?filter=383109&mode=advanced,qfab_block_5_6_cfab_block_3_open_tickets_link.jql,,
gpu_mi355x_bringup,CHS - CX7 Priority Blocks - AGA4.1,QFAB Block 24+25+26+27 | CFAB Block 10 Tickets Link,383110,https://jira-sd.mc1.oracleiaas.com/issues/?filter=383110&mode=advanced,qfab_block_24_25_26_27_cfab_block_10_tickets_link.jql,,
gpu_mi355x_bringup,CHS - Pollara (all blocks) - AGA4.2,AGA4 Mi355X - POLLARA - NOT PENDING PARTS - All Blocks - Open Tickets,383111,https://jira-sd.mc1.oracleiaas.com/issues/?filter=383111&mode=advanced,aga4_mi355x_pollara_not_pending_parts_all_blocks_open_tickets.jql,@dco-aga4 @lgreen @aroden @gomcgowa @mlovestr @relarse @josantho @joshschm,@wezzhu @shlou @vensridh
gpu_mi355x_bringup,CHS - Pollara (all blocks) - AGA4.2,SmartNIC Jira: Pollara - SmartNIC Issues,383112,https://jira-sd.mc1.oracleiaas.com/issues/?filter=383112&mode=advanced,smartnic_jira_pollara_smartnic_issues.jql,,
gpu_mi355x_bringup,CHS - Pollara (all blocks) - AGA4.2,Unblocked by RHS: Pollara - Unblocked by RHS,383114,https://jira-sd.mc1.oracleiaas.com/issues/?filter=383114&mode=advanced,unblocked_by_rhs_pollara_unblocked_by_rhs.jql,,
gpu_mi355x_bringup,CHS - Pollara (all blocks) - AGA4.2,Cabling Jira: Pollara - Cabling Issues,383115,https://jira-sd.mc1.oracleiaas.com/issues/?filter=383115&mode=advanced,cabling_jira_pollara_cabling_issues.jql,,
gpu_mi355x_bringup,CHS - Pollara (all blocks) - AGA4.2,ILOM Jira: Pollara - ILOM Issues,383116,https://jira-sd.mc1.oracleiaas.com/issues/?filter=383116&mode=advanced,ilom_jira_pollara_ilom_issues.jql,,
gpu_mi355x_bringup,CHS - Pollara (all blocks) - AGA4.2,CPV IB Jira: Pollara - IB Issues,383117,https://jira-sd.mc1.oracleiaas.com/issues/?filter=383117&mode=advanced,cpv_ib_jira_pollara_ib_issues.jql,,
gpu_mi355x_bringup,CHS - Pollara (all blocks) - AGA4.2,AGFHC Jira: Pollara - AGFHC Issues,383118,https://jira-sd.mc1.oracleiaas.com/issues/?filter=383118&mode=advanced,agfhc_jira_pollara_agfhc_issues.jql,,
gpu_mi355x_bringup,LVV,AGA4 Mi355X LVV Open Tickets,373240,https://jira-sd.mc1.oracleiaas.com/issues/?filter=373240&mode=advanced,aga4_mi355x_lvv_open_tickets.jql,,@lgreen @aroden @mlovestr @josantho please coordinate with LVV
gpu_mi355x_bringup,AGA4 Mi355X Card Management,AGA4 - Mi355X Card Management Tickets,383119,https://jira-sd.mc1.oracleiaas.com/issues/?filter=383119&mode=advanced,aga4_mi355x_card_management_tickets.jql,"Card Management Oncall - @yinwjian @rfragoso, please review the below",@wezzhu @shlou @vensridh
gpu_mi355x_bringup,AGA4 - MI355X - NSG,AGA4 - MI355X - Networking Tickets,351101,https://jira-sd.mc1.oracleiaas.com/issues/?filter=351101&mode=advanced,aga4_mi355x_networking_tickets.jql,"NSG Oncall - , please review the below tickets.",@wezzhu @shlou @vensridh
gpu_mi355x_bringup,RHS,CX7 RHS Tickets,383121,https://jira-sd.mc1.oracleiaas.com/issues/?filter=383121&mode=advanced,cx7_rhs_tickets.jql,"RHS Oncall - , please review the",@wezzhu @shlou @vensridh
gpu_mi355x_bringup,RHS,Pollara RHS Tickets,383122,https://jira-sd.mc1.oracleiaas.com/issues/?filter=383122&mode=advanced,pollara_rhs_tickets.jql,,
