Ticket,Status,Created,Age,Runbook Present,Category of Issue,Category,Rules Used,Categorization Source,LLM Confidence,Human Audit for Accuracy,Human Comments
DO-2570435,Closed,2026-01-11,28,TRUE,CPV CDFP Fault - Auto Resolved (TRS),CDFP,"R008,R040",rule,0.9,pending-review,
DO-2574845,Closed,2026-01-13,26,TRUE,CPV CDFP Fault - Auto Resolved (TRS),CDFP,"R008,R040",rule,0.9,pending-review,
DO-2574890,Closed,2026-01-13,26,TRUE,CPU/Processor Fault - SP Diagnostics Code Detected,CPU/Processor,R039,rule,0.85,pending-review,
DO-2574896,Closed,2026-01-13,26,TRUE,CPU/Processor Fault - SP Diagnostics Code Detected,CPU/Processor,R039,rule,0.85,pending-review,
DO-2574917,Closed,2026-01-13,26,TRUE,CPV CDFP Fault - Auto Resolved (TRS),CDFP,"R008,R040",rule,0.9,pending-review,
DO-2574946,Closed,2026-01-13,26,TRUE,CPV CDFP Fault - Auto Resolved (TRS),CDFP,"R008,R040",rule,0.9,pending-review,
DO-2576676,Closed,2026-01-14,25,TRUE,SVCIO Update Failed - ILOM Provisioning,ILOM,R029,rule,1.0,pending-review,
DO-2576684,Closed,2026-01-14,25,TRUE,SVCIO Update Failed - ILOM Provisioning,ILOM,R029,rule,1.0,pending-review,
DO-2576695,Closed,2026-01-14,25,TRUE,SVCIO Update Failed - ILOM Provisioning,ILOM,R029,rule,1.0,pending-review,
DO-2576696,Closed,2026-01-14,25,TRUE,SVCIO Update Failed - ILOM Provisioning,ILOM,R029,rule,1.0,pending-review,
DO-2576720,Closed,2026-01-14,25,TRUE,SVCIO Update Failed - ILOM Provisioning,ILOM,R029,rule,1.0,pending-review,
DO-2576721,Closed,2026-01-14,25,TRUE,SVCIO Update Failed - ILOM Provisioning,ILOM,R029,rule,1.0,pending-review,
DO-2576722,Closed,2026-01-14,25,TRUE,SVCIO Update Failed - ILOM Provisioning,ILOM,R029,rule,1.0,pending-review,
DO-2576727,Closed,2026-01-14,25,TRUE,SVCIO Update Failed - ILOM Provisioning,ILOM,R029,rule,1.0,pending-review,
DO-2576728,Closed,2026-01-14,25,TRUE,SVCIO Update Failed - ILOM Provisioning,ILOM,R029,rule,1.0,pending-review,
DO-2576729,Closed,2026-01-14,25,TRUE,SVCIO Update Failed - ILOM Provisioning,ILOM,R029,rule,1.0,pending-review,
DO-2576730,Closed,2026-01-14,25,TRUE,SVCIO Update Failed - ILOM Provisioning,ILOM,R029,rule,1.0,pending-review,
DO-2576731,Closed,2026-01-14,25,TRUE,SVCIO Update Failed - ILOM Provisioning,ILOM,R029,rule,1.0,pending-review,
DO-2576732,Closed,2026-01-14,25,TRUE,Hardware Environment Fault - Diagnostics Code Detected,HW- General,R041,rule,0.8,pending-review,
DO-2576910,Resolved,2026-01-14,25,TRUE,Prescriptive Action - Component,HW- General,"R027,R035,R041,R039",rule,1.0,pending-review,
DO-2576955,Closed,2026-01-14,25,TRUE,CDFP Cable Order Failure,CDFP,R002,rule,0.95,pending-review,
DO-2576972,Closed,2026-01-14,25,TRUE,CDFP Cable Order Failure,CDFP,R002,rule,0.95,pending-review,
DO-2576987,Closed,2026-01-14,25,TRUE,CDFP Cable Order Failure,CDFP,R002,rule,0.95,pending-review,
DO-2577003,Closed,2026-01-14,25,TRUE,CDFP Cable Order Failure,CDFP,"R002,R039",rule,0.95,pending-review,
DO-2577025,Closed,2026-01-14,25,TRUE,SVCIO Update Failed - ILOM Provisioning,ILOM,R029,rule,1.0,pending-review,
DO-2577026,Closed,2026-01-14,25,TRUE,SVCIO Update Failed - ILOM Provisioning,ILOM,R029,rule,1.0,pending-review,
DO-2577027,Closed,2026-01-14,25,TRUE,SVCIO Update Failed - ILOM Provisioning,ILOM,R029,rule,1.0,pending-review,
DO-2577028,Closed,2026-01-14,25,TRUE,SVCIO Update Failed - ILOM Provisioning,ILOM,R029,rule,1.0,pending-review,
DO-2577029,Closed,2026-01-14,25,TRUE,SVCIO Update Failed - ILOM Provisioning,ILOM,R029,rule,1.0,pending-review,
DO-2577030,Closed,2026-01-14,25,TRUE,SVCIO Update Failed - ILOM Provisioning,ILOM,R029,rule,1.0,pending-review,
